time, Ez_field_energy, Ez_max_norm
1.2875000000e+00 5.9409796716e-01 9.5883401946e-03
1.2906250000e+00 5.8295839550e-01 9.4414096729e-03
1.2937500000e+00 5.7199823188e-01 9.2945565441e-03
1.2968750000e+00 5.6121718743e-01 9.1477837019e-03
1.3000000000e+00 5.5061495300e-01 9.0010940761e-03
1.3031250000e+00 5.4019120393e-01 8.8544906093e-03
1.3062500000e+00 5.2994560965e-01 8.7079763072e-03
1.3093750000e+00 5.1987783619e-01 8.5615541989e-03
1.3125000000e+00 5.0998755404e-01 8.4152273856e-03
1.3156250000e+00 5.0027443895e-01 8.2689989948e-03
1.3187500000e+00 4.9073817668e-01 8.1228722221e-03
1.3218750000e+00 4.8137846333e-01 7.9768503105e-03
1.3250000000e+00 4.7219500899e-01 7.8309366037e-03
1.3281250000e+00 4.6318753280e-01 7.6851344798e-03
1.3312500000e+00 4.5435576626e-01 7.5394474162e-03
1.3343750000e+00 4.4569945018e-01 7.3938789621e-03
1.3375000000e+00 4.3721833466e-01 7.2484327619e-03
1.3406250000e+00 4.2891217884e-01 7.1031125760e-03
1.3437500000e+00 4.2078074907e-01 6.9579222727e-03
1.3468750000e+00 4.1282382010e-01 6.8128658546e-03
1.3500000000e+00 4.0504117556e-01 6.6679474794e-03
1.3531250000e+00 3.9743260679e-01 6.5231714430e-03
1.3562500000e+00 3.8999791587e-01 6.3785422281e-03
1.3593750000e+00 3.8273691547e-01 6.2340644990e-03
1.3625000000e+00 3.7564943208e-01 6.0897431552e-03
1.3656250000e+00 3.6873530539e-01 5.9455833233e-03
1.3687500000e+00 3.6199439115e-01 5.8015904277e-03
1.3718750000e+00 3.5542655978e-01 5.6577701847e-03
1.3750000000e+00 3.4903169651e-01 5.5141286609e-03
1.3781250000e+00 3.4280970046e-01 5.3706723309e-03
1.3812500000e+00 3.3676048061e-01 5.2274080987e-03
1.3843750000e+00 3.3088395264e-01 5.0843433799e-03
1.3875000000e+00 3.2518003485e-01 4.9414862009e-03
1.3906250000e+00 3.1964863872e-01 4.7988452127e-03
1.3937500000e+00 3.1428966313e-01 4.6564298322e-03
1.3968750000e+00 3.0910298639e-01 4.5142503833e-03
1.4000000000e+00 3.0408845513e-01 4.3723181865e-03
1.4031250000e+00 2.9924587538e-01 4.2306457465e-03
1.4062500000e+00 2.9457500325e-01 4.0892469635e-03
1.4093750000e+00 2.9007553550e-01 3.9481373724e-03
1.4125000000e+00 2.8574710043e-01 3.8073344122e-03
1.4156250000e+00 2.8158925167e-01 3.6668577992e-03
1.4187500000e+00 2.7760146390e-01 3.5267299751e-03
1.4218750000e+00 2.7378312976e-01 3.3869766272e-03
1.4250000000e+00 2.7013356005e-01 3.2476273550e-03
1.4281250000e+00 2.6665198798e-01 3.1087165427e-03
1.4312500000e+00 2.6333757629e-01 2.9702844348e-03
1.4343750000e+00 2.6018942541e-01 2.8323784844e-03
1.4375000000e+00 2.5720658702e-01 2.6950551690e-03
1.4406250000e+00 2.5438807627e-01 2.5583822391e-03
