time, Ez_field_energy, Ez_max_norm
1.3468750000e+00 1.6492186356e-01 1.0806872198e-03
1.3500000000e+00 1.6493536454e-01 1.1032302889e-03
1.3531250000e+00 1.6496191290e-01 1.1261735274e-03
1.3562500000e+00 1.6500124527e-01 1.1494841488e-03
1.3593750000e+00 1.6505307095e-01 1.1731315632e-03
1.3625000000e+00 1.6511707227e-01 1.1970872051e-03
1.3656250000e+00 1.6519290577e-01 1.2213244812e-03
1.3687500000e+00 1.6528020299e-01 1.2458186038e-03
1.3718750000e+00 1.6537857113e-01 1.2705464818e-03
1.3750000000e+00 1.6548759508e-01 1.2954866138e-03
1.3781250000e+00 1.6560683834e-01 1.3206189702e-03
1.3812500000e+00 1.6573584473e-01 1.3459248605e-03
1.3843750000e+00 1.6587414098e-01 1.3713868879e-03
1.3875000000e+00 1.6602123870e-01 1.3969888395e-03
1.3906250000e+00 1.6617663661e-01 1.4227155591e-03
1.3937500000e+00 1.6633982367e-01 1.4485529076e-03
1.3968750000e+00 1.6651028217e-01 1.4744876750e-03
1.4000000000e+00 1.6668749078e-01 1.5005075097e-03
1.4031250000e+00 1.6687092853e-01 1.5266008521e-03
1.4062500000e+00 1.6706007813e-01 1.5527568835e-03
1.4093750000e+00 1.6725443010e-01 1.5789654572e-03
1.4125000000e+00 1.6745348653e-01 1.6052170533e-03
1.4156250000e+00 1.6765676531e-01 1.6315027324e-03
1.4187500000e+00 1.6786380429e-01 1.6578141115e-03
1.4218750000e+00 1.6807416509e-01 1.6841432852e-03
1.4250000000e+00 1.6828743699e-01 1.7104828233e-03
1.4281250000e+00 1.6850324067e-01 1.7368257147e-03
1.4312500000e+00 1.6872123161e-01 1.7631653433e-03
1.4343750000e+00 1.6894110353e-01 1.7894954833e-03
1.4375000000e+00 1.6916259064e-01 1.8158102258e-03
1.4406250000e+00 1.6938547049e-01 1.8421039970e-03
